anio,region_name,agregados,industry_gdp,prop_industry_gdp
2013,Asia,Otros,716838712547.5294,0.06383357781138947
2013,Asia,Tailandia,108182235318.626,0.009633490791087381
2013,Asia,Vietnam,43127194785.025,0.0038404219748585503
2014,Asia,China,2986278895210.48,0.2551601880791121
2014,Asia,Corea del Sur,420802277928.317,0.03595511074083399
2014,Asia,India,295904416862.047,0.02528331388640721
2014,Asia,Indonesia,173160391174.646,0.014795549756199558
2014,Asia,Japón,884300562503.012,0.07555834728250646
2014,Asia,Otros,751908642000.787,0.06424622657278903
2014,Asia,Tailandia,108217655079.868,0.009246570127105756
2014,Asia,Vietnam,45929759124.3013,0.003924431169299417
2015,Asia,China,3202510843017.23,0.2637193768597664
2015,Asia,Corea del Sur,428233369659.645,0.03526402967329218
2015,Asia,India,334547739285.659,0.02754923422870762
2015,Asia,Indonesia,180657039369.112,0.01487669025434621
2015,Asia,Japón,909542617885.21,0.0748987354528678
2015,Asia,Otros,777206613105.3419,0.06400117087701225
2015,Asia,Tailandia,109851119028.373,0.009045986127003003
2015,Asia,Vietnam,50148764986.0912,0.004129635058458938
2016,Asia,China,3404166535738.12,0.2729834703163487
2016,Asia,Corea del Sur,437116139773.075,0.0350527741559703
2016,Asia,India,361066741146.447,0.02895429791086884
2016,Asia,Indonesia,188346733737.085,0.015103710249930654
2016,Asia,Japón,910495163864.646,0.0730135047532658
2016,Asia,Otros,815345243792.7712,0.06538333886424251
2016,Asia,Tailandia,112330749142.964,0.009007913509035362
2016,Asia,Vietnam,55735447392.9275,0.004469480470248681
2017,Asia,China,3600631194771.78,0.27898174861750086
2017,Asia,Corea del Sur,455715445615.321,0.03530944576450135
2017,Asia,India,388244464401.487,0.03008170337663732
2017,Asia,Indonesia,196432895563.277,0.015219884994001847
2017,Asia,Japón,948146753641.555,0.07346368593956865
2017,Asia,Otros,865433151103.9706,0.06705492474683813
2017,Asia,Tailandia,115593768936.236,0.008956360716405584
2017,Asia,Vietnam,62493948698.5184,0.004842115213366118
2018,Asia,China,3819861916374.72,0.28432083849123624
2018,Asia,Corea del Sur,471158177637.649,0.03506935356843355
2018,Asia,India,409254534445.408,0.03046172739675659
2018,Asia,Indonesia,204828452357.274,0.01524583835646939
2018,Asia,Japón,980530838505.297,0.07298309631959816
2018,Asia,Otros,897589101444.758,0.0668095579186727
2018,Asia,Tailandia,119596613335.998,0.008901842561019795
2018,Asia,Vietnam,69668487506.0024,0.005185580845006565
2019,Asia,China,3988407309154.29,0.2923579398832781
2019,Asia,Corea del Sur,473493177449.643,0.034707962145751337
2019,Asia,India,397079363707.139,0.029106682378485026
2019,Asia,Indonesia,212607395094.066,0.015584531672827391
2019,Asia,Japón,962765401608.695,0.07057255881543825
2019,Asia,Otros,916346063359.467,0.06716993188961232
2019,Asia,Tailandia,118583961950.691,0.00869243287653395
2019,Asia,Vietnam,76353057774.9554,0.005596826237791687
2020,Asia,China,4081478900734.89,0.30604091144334133
2020,Asia,Corea del Sur,464009861031.926,0.034792780813675143
2020,Asia,India,409284038682.754,0.030689282802645032
2020,Asia,Indonesia,206374157155.69,0.015474522027519646
2020,Asia,Japón,907776318402.094,0.06806765357048285
2020,Asia,Otros,915397304516.611,0.06863909681282422
2020,Asia,Tailandia,112296522381.81,0.008420313052569916
2020,Asia,Vietnam,80164709285.1846,0.006010978199791986
2021,Asia,China,4511268232770.7,0.3100006432975641
2021,Asia,Corea del Sur,494062524264.663,0.033950475220844344
2021,Asia,India,450029163814.307,0.030924636507241587
2021,Asia,Indonesia,213368849812.606,0.014662058935242037
2021,Asia,Japón,997477565024.084,0.06854362695308855
2021,Asia,Otros,1008586830153.3282,0.06930702189192457
2021,Asia,Tailandia,117606360085.22,0.00808155166156272
2021,Asia,Vietnam,84465595988.8999,0.005804219067015967
2022,Asia,China,4627011538045.29,0.31120398319881476
2022,Asia,Corea del Sur,506283075831.231,0.034051635386971126
2022,Asia,India,440123768403.218,0.029601886379867815
2022,Asia,Indonesia,223807584446.279,0.015052871854132252
2022,Asia,Japón,987249881394.065,0.06640054665439288
2022,Asia,Otros,1071539880191.9498,0.07206973143036315
2022,Asia,Tailandia,118399746281.882,0.007963341424520579
2022,Asia,Vietnam,91387100505.0103,0.006146522319277442
2023,Asia,China,4822678648045.24,0.31892054494272504
2023,Asia,Corea del Sur,514862020561.566,0.03404748442742744
2023,Asia,India,483530020591.625,0.031975520020549694
2023,Asia,Indonesia,234191735349.101,0.015486944353816938
2023,Asia,Japón,995261938509.108,0.065816012833186
2023,Asia,Otros,1086980446099.618,0.07188129699512266
2023,Asia,Tailandia,114569187550.046,0.007576384493691271
2023,Asia,Vietnam,94696999920.957,0.006262249887098323
