anio,region_name,lall_desc_full,exportaciones,prop_exportaciones
1999,Asia,Manufacturas de baja tecnología,321203178353,0.3499968084325873
1999,Asia,Manufacturas de media tecnología,387700337805,0.21941553053056934
1999,Asia,Total manufacturas,1297518740898,0.26883589657437384
2000,Asia,Manufacturas basadas en recursos naturales,213738742333,0.21379527434390677
2000,Asia,Manufacturas de alta tecnología,493345750546,0.351823470527209
2000,Asia,Manufacturas de baja tecnología,349760826924,0.367883761359567
2000,Asia,Manufacturas de media tecnología,434854584846,0.23683282414104853
2000,Asia,Total manufacturas,1491699904649,0.2874817259155873
2001,Asia,Manufacturas basadas en recursos naturales,207221964513,0.2150699374594554
2001,Asia,Manufacturas de alta tecnología,422275691220,0.32646594778728993
2001,Asia,Manufacturas de baja tecnología,340183103234,0.36236549033779636
2001,Asia,Manufacturas de media tecnología,404375440517,0.22298503933604788
2001,Asia,Total manufacturas,1374056199484,0.27430465046056496
2002,Asia,Manufacturas basadas en recursos naturales,223177079426,0.2217844379587556
2002,Asia,Manufacturas de alta tecnología,468294714756,0.34573752834365246
2002,Asia,Manufacturas de baja tecnología,368938979626,0.3708160597679563
2002,Asia,Manufacturas de media tecnología,457058614344,0.2352282898420985
2002,Asia,Total manufacturas,1517469388152,0.28638304238249385
2003,Asia,Manufacturas basadas en recursos naturales,287607031989.88983,0.24157057174216645
2003,Asia,Manufacturas de alta tecnología,575751286481.5142,0.39131592426614925
2003,Asia,Manufacturas de baja tecnología,436472344816.7207,0.3916898605021098
2003,Asia,Manufacturas de media tecnología,556638256799.5391,0.24709784994061126
2003,Asia,Total manufacturas,1856468920087.664,0.30792688912971405
2004,Asia,Manufacturas basadas en recursos naturales,379526152920.82404,0.2529842341657597
2004,Asia,Manufacturas de alta tecnología,717984201373.3976,0.40878731904729293
2004,Asia,Manufacturas de baja tecnología,522705104402.45056,0.398521283287972
2004,Asia,Manufacturas de media tecnología,709985276432.023,0.26012206365587964
2004,Asia,Total manufacturas,2330200735128.696,0.3193098813091931
2005,Asia,Manufacturas basadas en recursos naturales,474723482274.99854,0.26583842721966533
2005,Asia,Manufacturas de alta tecnología,800968050209.9349,0.4159032080480225
2005,Asia,Manufacturas de baja tecnología,590628526220.3236,0.41157230399734446
2005,Asia,Manufacturas de media tecnología,814412448913.0524,0.26879034271213925
2005,Asia,Total manufacturas,2680732507618.3096,0.32785487645350747
2006,Asia,Manufacturas basadas en recursos naturales,566806140854.943,0.26667373386445736
2006,Asia,Manufacturas de alta tecnología,924218786984.1113,0.4175324198250964
2006,Asia,Manufacturas de baja tecnología,677729903493.2925,0.42374066111385994
2006,Asia,Manufacturas de media tecnología,930922618000.7288,0.27373817943999773
2006,Asia,Total manufacturas,3099677449333.075,0.33190082075499794
2007,Asia,Manufacturas basadas en recursos naturales,685674527174.3629,0.2795176552036333
