anio,subregion_es,valor
1995,Este de Asia,0.20128501617968814
1995,Europa Occidental,0.17140144462390555
1995,Europa del Este,0.2298111782570596
1995,Europa del Norte,0.191662989689095
1995,Europa del Sur,0.1761708520350828
1995,Melanesia,0.08504773686141773
1995,Micronesia,0.02313152619219422
1995,Polinesia,0.06381024258950999
1995,Sudeste Asiático,0.16310791142807127
1995,África Subsahariana,0.11699144976716945
1995,África del Norte,0.14961031252586884
1995,NA,0.0934474023322937
1996,América Latina y el Caribe,0.13891076683366133
1996,América del Norte,0.11031800953569737
1996,Asia Central,0.271212970673007
1996,Asia Occidental,0.11654446809965713
1996,Asia del Sur,0.13008666118916593
1996,Australia y Nueva Zelanda,0.15690794948196551
1996,Este de Asia,0.18177542083799159
1996,Europa Occidental,0.1676956128887846
1996,Europa del Este,0.22783070986198206
1996,Europa del Norte,0.186650729388066
1996,Europa del Sur,0.17193996808813591
1996,Melanesia,0.08392288584298623
1996,Micronesia,0.019903226591550874
1996,Polinesia,0.06090764563370044
1996,Sudeste Asiático,0.1676037614124144
1996,África Subsahariana,0.1169957811593795
1996,África del Norte,0.14732065411481643
1996,NA,0.10503998798723083
1997,América Latina y el Caribe,0.13378823260701747
1997,América del Norte,0.1077613761765606
1997,Asia Central,0.22505815828037679
1997,Asia Occidental,0.11489861350645955
1997,Asia del Sur,0.1311261660054586
1997,Australia y Nueva Zelanda,0.155777291949702
1997,Este de Asia,0.17944068968322327
1997,Europa Occidental,0.16833199811894906
1997,Europa del Este,0.2286375982708261
1997,Europa del Norte,0.191144084105361
1997,Europa del Sur,0.17018130990072322
1997,Melanesia,0.0886377527617725
1997,Micronesia,0.02171264627719826
1997,Polinesia,0.060011234739077164
1997,Sudeste Asiático,0.17787167799112477
1997,África Subsahariana,0.11800407509258752
1997,África del Norte,0.14934836623861344
1997,NA,0.09310360485875424
1998,América Latina y el Caribe,0.12971530107074064
1998,América del Norte,0.1079852320922688
1998,Asia Central,0.21118892860660804
1998,Asia Occidental,0.11103920737097042
1998,Asia del Sur,0.13135075427017798
1998,Australia y Nueva Zelanda,0.149710167580796
1998,Este de Asia,0.1767794280341667
1998,Europa Occidental,0.18963304144153167
1998,Europa del Este,0.2223758612553634
1998,Europa del Norte,0.1869698293778867
1998,Europa del Sur,0.17050306696383657
1998,Melanesia,0.08071153410463897
1998,Micronesia,0.0234197007277105
1998,Polinesia,0.0619574243135709
1998,Sudeste Asiático,0.17358226762924842
1998,África Subsahariana,0.118426164794777
1998,África del Norte,0.14594852368777086
1998,NA,0.09529086956685978
1999,América Latina y el Caribe,0.12884847811162714
1999,América del Norte,0.109600418191674
1999,Asia Central,0.2229723407977107
1999,Asia Occidental,0.10376740746640563
1999,Asia del Sur,0.1307578005911424
1999,Australia y Nueva Zelanda,0.14637143944901249
1999,Este de Asia,0.1750161972786445
1999,Europa Occidental,0.18596702895407044
1999,Europa del Este,0.2186686997790916
1999,Europa del Norte,0.1813460168485787
1999,Europa del Sur,0.16785254435980435
1999,Melanesia,0.0849917578895661
1999,Micronesia,0.02279055392775484
1999,Polinesia,0.06333618771398956
1999,Sudeste Asiático,0.17863755182855282
1999,África Subsahariana,0.11503837693586427
1999,África del Norte,0.1437497728795421
1999,NA,0.09363891950912158
2000,América Latina y el Caribe,0.13106401191721415
2000,América del Norte,0.10823771496309458
2000,Asia Central,0.22585568948506257
2000,Asia Occidental,0.09818028071046113
2000,Asia del Sur,0.13479197721491884
2000,Australia y Nueva Zelanda,0.1433349196999925
2000,Este de Asia,0.17598771578210193
2000,Europa Occidental,0.18524441385716608
2000,Europa del Este,0.208804931449435
2000,Europa del Norte,0.18268076295677782
2000,Europa del Sur,0.17111881940951065
2000,Melanesia,0.08927267140970188
2000,Micronesia,0.0247459449188786
2000,Polinesia,0.06614683894006623
2000,Sudeste Asiático,0.18832877097600742
2000,África Subsahariana,0.1164635564643314
2000,África del Norte,0.1365404864626149
2000,NA,0.09094278901653306
2001,América Latina y el Caribe,0.12932076268896975
2001,América del Norte,0.10202049809856337
2001,Asia Central,0.2287116309930052
2001,Asia Occidental,0.1013416031020875
2001,Asia del Sur,0.1397399830791514
2001,Australia y Nueva Zelanda,0.1390978514538035
2001,Este de Asia,0.17164138765419287
