geocodigoFundar,geonombreFundar,anio,gdp_indust_pc,gdp_indust_pc_vs_usa
IND,India,1980,43.59416565882,0.010879731228874362
IND,India,1981,46.001049975408,0.011222567707072481
IND,India,1982,47.8727795736443,0.01243188253344571
IND,India,1983,51.4008306907705,0.013078375777926967
IND,India,1984,53.4661948489033,0.012733844781841029
IND,India,1985,54.3274040723413,0.012729171504790254
IND,India,1986,56.8084407875338,0.013312715980842361
IND,India,1987,59.5886466754682,0.013104645103722624
IND,India,1988,63.3612439066202,0.013132448199631837
IND,India,1989,69.1937718435462,0.014585958304126371
IND,India,1990,71.8054612968148,0.015428080485632809
IND,India,1991,67.660994558266,0.01521187397474478
IND,India,1992,69.002525827959,0.015431923868795862
IND,India,1993,73.221293846111,0.016007640792104986
IND,India,1994,80.3133762911188,0.016526252396148727
IND,India,1995,90.4409848273168,0.017647995360121082
IND,India,1996,97.2134112952096,0.01870175300595124
IND,India,1997,96.7614652707251,0.017881368285253427
IND,India,1998,97.4884344673852,0.017472302981958582
IND,India,1999,99.4595671131357,0.01704378089832351
IND,India,2000,103.981682784397,0.01679264070656954
IND,India,2001,105.696929320048,0.01795581530376446
IND,India,2002,108.358597671423,0.018426757680932448
IND,India,2003,113.79792194706,0.01850663730426057
IND,India,2004,122.713463075688,0.018826130570778313
IND,India,2005,132.014663399611,0.019854494452538403
IND,India,2006,153.083961824185,0.021991766846099877
IND,India,2007,161.322199997051,0.022646751014624437
IND,India,2008,166.43384361694,0.024103630558707557
IND,India,2009,182.036290431698,0.029391777761085272
IND,India,2010,193.213108515512,0.029807138767739598
IND,India,2011,196.447985100591,0.03044378233278888
IND,India,2012,204.33342334113,0.03216095270844776
IND,India,2013,211.640883695456,0.032592496307604885
IND,India,2014,225.489263161358,0.03445917232077163
IND,India,2015,251.913831250468,0.03836518723961104
IND,India,2016,268.661984147033,0.04137972797483576
IND,India,2017,285.545803230642,0.04508419536042196
IND,India,2018,297.713480500797,0.04519561241590328
IND,India,2019,285.868033459546,0.043519357579477905
IND,India,2020,291.800139226644,0.046664164371137025
IND,India,2021,318.220848554576,0.04740808731763921
IND,India,2022,308.767083837286,0.0457556058826127
IND,India,2023,336.235479796365,0.049958552634814496
JPN,Japón,1970,2718.44153642761,0.7240348416511366
JPN,Japón,1971,2815.5078378183,0.7494850428144998
JPN,Japón,1972,3034.46439054258,0.7616878624019372
JPN,Japón,1973,3375.89482598964,0.7827875990788352
JPN,Japón,1974,3246.96767847679,0.7909411877832615
JPN,Japón,1975,3044.61168486808,0.7959528065422397
JPN,Japón,1976,3272.57271864089,0.8018857526023151
JPN,Japón,1977,3346.33497857936,0.7939253827461418
JPN,Japón,1978,3413.86887067143,0.7847733961410259
JPN,Japón,1979,3681.5205092648,0.8477216324408356
JPN,Japón,1980,3782.8581439107,0.9440822931400716
JPN,Japón,1981,3896.61686746424,0.950631488781583
JPN,Japón,1982,3982.45619041442,1.034187444196002
JPN,Japón,1983,4044.1442684762,1.0289880091914227
JPN,Japón,1984,4240.16240151225,1.0098637096438667
JPN,Japón,1985,4648.96549685182,1.0892749274469231
JPN,Japón,1986,4609.17373845074,1.0801321077591912
JPN,Japón,1987,4750.44211680206,1.0447100496426691
JPN,Japón,1988,5109.12817285179,1.0589337730512172
JPN,Japón,1989,5417.15145113617,1.1419285737460434
JPN,Japón,1990,5800.75475683099,1.2463468606638664
JPN,Japón,1991,6067.95297413866,1.3642267089022322
JPN,Japón,1992,5924.37824754092,1.3249450362722457
JPN,Japón,1993,5686.68799150742,1.2432238476439137
JPN,Japón,1994,5583.10839284129,1.1488479592826506
JPN,Japón,1995,5841.54196827359,1.1398759727006769
JPN,Japón,1996,6062.41599200805,1.166277419867174
JPN,Japón,1997,6191.28711822471,1.1441402299042696
JPN,Japón,1998,5926.37862327669,1.062151458861869
JPN,Japón,1999,5860.7602942075,1.0043228344080957
JPN,Japón,2000,6153.47146120153,0.9937619067037491
JPN,Japón,2001,5824.51508762353,0.9894697776004425
JPN,Japón,2002,5735.48520020845,0.9753392738367609
